"","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB"
"366","7MF95","84",1,"1995-05-12 3:17","7MF95 84 1 60BON 1",0,0,1995,5,55.487,-165.51379,132,136.90251,114,"7MF95_55.487_-165.51379_1995-05-12 3:17_333",0,275,"5/12/1995",257129
"371","4MF07","28",2,"2007-05-11 6:39","4MF07 28 2 60BON 1",0,0,2007,5,56.3095,-169.27133,131,185.71169,150,"4MF07_56.3095_-169.27133_2007-05-11 6:39_505",0,446,"5/11/2007",234261
"372","4MF07","59",3,"2007-05-14 6:31","4MF07 59 3 60BON 1",0,0,2007,5,56.35717,-172.69034,134,682.35205,1371,"4MF07_56.35717_-172.69034_2007-05-14 6:31_505",0,446,"5/14/2007",234261
"374","6MF97","19",2,"1997-05-06 9:54","6MF97 19 2 60BON 1",0,0,1997,5,56.20183,-166.504,126,174.2896,114,"6MF97_56.20183_-166.504_1997-05-06 9:54_333",0,132,"5/6/1997",247943
"375","4MF94","138",2,"1994-04-27 15:31","4MF94 138 2 60BON 1",0,0,1994,4,54.88333,-165.0533,117,132.4268,93,"4MF94_54.88333_-165.0533_1994-04-27 15:31_333",0,158,"4/27/1994",261909
"376","4MF94","139",6,"1994-04-27 19:58","4MF94 139 6 60BON 1",0,0,1994,4,54.77,-165.01331,117,107.4978,71,"4MF94_54.77_-165.01331_1994-04-27 19:58_333",0,158,"4/27/1994",261909
"377","4MF94","152",2,"1994-04-29 18:57","4MF94 152 2 60BON 1",0,0,1994,4,53.63333,-167.30499,119,114.0973,82,"4MF94_53.63333_-167.30499_1994-04-29 18:57_333",0,158,"4/29/1994",261909
"379","4MF07","1",1,"2007-05-08 3:39","4MF07 1 1 60BON 1",0,0,2007,5,54.32784,-167.37083,128,560.211,798,"4MF07_54.32784_-167.37083_2007-05-08 3:39_505",0,446,"5/8/2007",234261
"380","4MF07","4",2,"2007-05-08 15:39","4MF07 4 2 60BON 1",0,0,2007,5,55.53133,-168.99733,128,342.6319,1608,"4MF07_55.53133_-168.99733_2007-05-08 15:39_505",0,446,"5/8/2007",234261
"381","4MF07","65",2,"2007-05-14 21:36","4MF07 65 2 60BON 1",0,0,2007,5,56.92933,-171.81233,134,145.1989,115,"4MF07_56.92933_-171.81233_2007-05-14 21:36_505",0,446,"5/14/2007",234261
"382","4MF94","140",3,"1994-04-27 21:56","4MF94 140 3 60BON 1",0,0,1994,4,54.67667,-164.9183,117,104.7413,61,"4MF94_54.67667_-164.9183_1994-04-27 21:56_333",0,158,"4/27/1994",261909
"383","3MF93","17",1,"1993-04-17 11:18","3MF93 17 1 60BON 1",0,0,1993,4,55.02,-167.0433,107,203.89815,154,"3MF93_55.02_-167.0433_1993-04-17 11:18_333",0,119,"4/17/1993",268008
"384","3MF93","21",1,"1993-04-17 18:34","3MF93 21 1 60BON 1",0,0,1993,4,54.15,-166.1817,107,122.36595,80,"3MF93_54.15_-166.1817_1993-04-17 18:34_333",0,119,"4/17/1993",268008
"385","3MF93","29",1,"1993-04-18 11:31","3MF93 29 1 60BON 1",0,0,1993,4,55.2,-168.21831,108,546.22882,1443,"3MF93_55.2_-168.21831_1993-04-18 11:31_333",0,119,"4/18/1993",268008
"386","3MF93","32",1,"1993-04-18 17:34","3MF93 32 1 60BON 1",0,0,1993,4,54.555,-167.5583,108,373.61237,698,"3MF93_54.555_-167.5583_1993-04-18 17:34_333",0,119,"4/18/1993",268008
"389","3MF93","53",1,"1993-04-20 23:57","3MF93 53 1 60BON 1",0,0,1993,4,53.615,-168.6217,110,392.7738,1281,"3MF93_53.615_-168.6217_1993-04-20 23:57_333",0,119,"4/20/1993",268008
"390","3MF93","54",1,"1993-04-21 1:49","3MF93 54 1 60BON 1",0,0,1993,4,53.84,-168.845,111,387.06207,1885,"3MF93_53.84_-168.845_1993-04-21 1:49_333",0,119,"4/21/1993",268008
